id,sensor_id,distance,altura_cm,nome,endereco,email_responsavel,threshold_percent,fill_percent,created_at
1,Lixeira-A1,62.21,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,5.74,2026-01-01 08:00:00+00
2,Lixeira-A1,62.03,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,6.02,2026-01-01 10:00:00+00
3,Lixeira-A1,62.03,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,6.02,2026-01-01 12:00:00+00
4,Lixeira-A1,61.1,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,7.42,2026-01-01 14:00:00+00
5,Lixeira-A1,59.64,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,9.64,2026-01-01 16:00:00+00
6,Lixeira-A1,59.64,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,9.64,2026-01-01 18:00:00+00
7,Lixeira-A1,58.28,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,11.7,2026-01-01 20:00:00+00
8,Lixeira-A1,57.57,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,12.78,2026-01-01 22:00:00+00
9,Lixeira-A1,56.79,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,13.96,2026-01-02 00:00:00+00
10,Lixeira-A1,55.93,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,15.25,2026-01-02 02:00:00+00
11,Lixeira-A1,54.44,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,17.52,2026-01-02 04:00:00+00
12,Lixeira-A1,52.78,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,20.04,2026-01-02 06:00:00+00
13,Lixeira-A1,52.78,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,20.04,2026-01-02 08:00:00+00
14,Lixeira-A1,50.99,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,22.74,2026-01-02 10:00:00+00
15,Lixeira-A1,50.87,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,22.93,2026-01-02 12:00:00+00
16,Lixeira-A1,49.73,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,24.66,2026-01-02 14:00:00+00
17,Lixeira-A1,49.73,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,24.66,2026-01-02 16:00:00+00
18,Lixeira-A1,48.17,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,27.01,2026-01-02 18:00:00+00
19,Lixeira-A1,45.9,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,30.46,2026-01-02 20:00:00+00
20,Lixeira-A1,45.9,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,30.46,2026-01-02 22:00:00+00
21,Lixeira-A1,45.9,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,30.46,2026-01-03 00:00:00+00
22,Lixeira-A1,45.9,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,30.46,2026-01-03 02:00:00+00
23,Lixeira-A1,43.31,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,34.38,2026-01-03 04:00:00+00
24,Lixeira-A1,40.26,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,39.01,2026-01-03 06:00:00+00
25,Lixeira-A1,40.26,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,39.01,2026-01-03 08:00:00+00
26,Lixeira-A1,39.03,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,40.86,2026-01-03 10:00:00+00
27,Lixeira-A1,39.03,66,Lixeira 1,"Cerro Cora, 914, Vila Madalena, Sao Paulo, SP",resp@exemplo.com,70,40.86,2026-01-03 12:00:00+00
